keyword,result_id,type,title,link,authors,journal,year,snippet,full_abstract,publication,cited_by,cited_by_link,related_pages_link,versions_link,pdf_url
geograhical indications,jMK6f9gcHn8J,,Impacts of geographical indications-review of methods and empirical evidences,https://ageconsearch.umn.edu/record/51737/,"D Barjolle, M Paus, AO Perret",2009,2009,"… geographical indications and geographical indications in progress. For a first group of geographical indications in … For a second group of geographical indications in progress, that we …",,"D Barjolle, M Paus, AO Perret - 2009 - ageconsearch.umn.edu",107,"https://scholar.google.com/scholar?cites=9159790408299627148&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:jMK6f9gcHn8J:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=9159790408299627148&hl=en&num=20&as_sdt=0,22",https://ageconsearch.umn.edu/record/51737/files/PaperIAAE2009_85.pdf
geograhical indications,jveLWuElEQMJ,Book,The law of geographical indications,https://books.google.com/books?hl=en&lr=&id=8vO0EJled1wC&oi=fnd&pg=PA13&dq=geographical+indications&ots=paZ7OAAnaD&sig=yV_rbOSV2ArRCLXGeqXjZIfpe_Q,B O'Connor,2004,2004,… geographical indications .................................................................. 28 1.2. Distinction between geographical indications … Protection of geographical indications under the Paris Convention .....…,,B O'Connor - 2004 - books.google.com,203,"https://scholar.google.com/scholar?cites=220999506534856590&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:jveLWuElEQMJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=220999506534856590&hl=en&num=20&as_sdt=0,22",
geograhical indications,a8I9ekrFsxMJ,Html,Understanding the real-world impact of geographical indications: A critical review of the empirical economic literature,https://www.mdpi.com/2071-1050/12/22/9434,"Á Török, L Jantyik, ZM Maró, HVJ Moir",Sustainability,2020,"In our study, we tried to collect empirical studies focusing on the economic impact of Geographical Indications (GIs). Using a systematic literature review approach, we investigated three …",,"Á Török, L Jantyik, ZM Maró, HVJ Moir - Sustainability, 2020 - mdpi.com",164,"https://scholar.google.com/scholar?cites=1419695231220957803&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:a8I9ekrFsxMJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=1419695231220957803&hl=en&num=20&as_sdt=0,22",
geograhical indications,su8HVtoAHkAJ,Pdf,The socio-economics of geographical indications,https://yucita.org/file_sub_367_Diger-The-Socio-Economics-of-Geographical-Indications-A-Review-of-Empirical-Evidence-from-Europe.pdf,D Rangnekar,UNCTAD-ICTSD Project on IPRs and Sustainable …,2004,"… some concrete insight into the welfare potential of geographical indications (GIs), this study reviews … designs, integrated circuits and geographical indications are frequently mentioned in …",,"D Rangnekar - UNCTAD-ICTSD Project on IPRs and Sustainable …, 2004 - yucita.org",216,"https://scholar.google.com/scholar?cites=4620131205474938802&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:su8HVtoAHkAJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=4620131205474938802&hl=en&num=20&as_sdt=0,22",https://yucita.org/file_sub_367_Diger-The-Socio-Economics-of-Geographical-Indications-A-Review-of-Empirical-Evidence-from-Europe.pdf
geograhical indications,VZk_0EBMUIoJ,,The economics of geographical indications: an update,https://www.annualreviews.org/content/journals/10.1146/annurev-resource-101623-092812,"L Menapace, GC Moschini",Annual Review of Resource …,2024,"… We discuss the economics of geographical indications (GIs), a form of collective branding of products based on their geographic origin. GIs serve as essential tools in addressing market …",,"L Menapace, GC Moschini - Annual Review of Resource …, 2024 - annualreviews.org",20,"https://scholar.google.com/scholar?cites=9966549816626354517&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:VZk_0EBMUIoJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=9966549816626354517&hl=en&num=20&as_sdt=0,22",https://www.annualreviews.org/content/journals/10.1146/annurev-resource-101623-092812?crawler=true&mimetype=application/pdf
geograhical indications,bD39EOm9uhEJ,Book,Guide to Geographical Indications: Linking products and their origins,https://mpra.ub.uni-muenchen.de/27955/1/Guide_To_Geographical_Indications_Summary.pdf,"D Giovannucci, TE Josling, W Kerr, B O'Connor…",2009,2009,"The source publication explains the pros and cons of GIs, how they work, and the success factors that influence them. We have distilled the lessons from the published literature, …",,"D Giovannucci, TE Josling, W Kerr, B O'Connor… - 2009 - mpra.ub.uni-muenchen.de",316,"https://scholar.google.com/scholar?cites=1277542253023018348&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:bD39EOm9uhEJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=1277542253023018348&hl=en&num=20&as_sdt=0,22",https://mpra.ub.uni-muenchen.de/27955/1/Guide_To_Geographical_Indications_Summary.pdf
geograhical indications,5hXoY1-M-UkJ,Book,Relocating the law of geographical indications,https://books.google.com/books?hl=en&lr=&id=qy-Zytgi_UAC&oi=fnd&pg=PR5&dq=geographical+indications&ots=bvClyZ_mP1&sig=QFuY-8Kd95mMGohseYP5-WrdhJk,D Gangjee,2012,2012,… indications This book is concerned with the origins of Geographical Indications (GI) protection and the process by which they have emerged as a distinct category of subject matter …,,D Gangjee - 2012 - books.google.com,180,"https://scholar.google.com/scholar?cites=5330445975295628774&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:5hXoY1-M-UkJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=5330445975295628774&hl=en&num=20&as_sdt=0,22",
geograhical indications,ugyABCLYGfQJ,,The multifaceted role of the state in the protection of geographical indications: A worldwide review,https://www.sciencedirect.com/science/article/pii/S0305750X17301584,"D Marie-Vivien, E Biénabe",World development,2017,"… Geographical indications (GIs) serve to designate goods with a quality, characteristics, or reputation attributed to its geographical origin. They are increasingly protected in many …",,"D Marie-Vivien, E Biénabe - World development, 2017 - Elsevier",146,"https://scholar.google.com/scholar?cites=17589327460288171194&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:ugyABCLYGfQJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=17589327460288171194&hl=en&num=20&as_sdt=0,22",https://yucita.org/file_sub_302_Diger-The-Multifaceted-Role-of-the-State-in-the-Protection-of-Geographical-Indications:-A-Worldwide-Review.pdf
geograhical indications,6N5AsoxVRfAJ,Html,The economics of geographical indications: towards a conceptual framework for geographical indication research in developing countries,https://books.google.com/books?hl=en&lr=&id=Et3uDwAAQBAJ&oi=fnd&pg=PA109&dq=geographical+indications&ots=5yTwOZ2eMq&sig=mWYFyk5aW1KaJKTWYPfWKX7pQt4,"C Bramley, E Biénabe, J Kirsten",The economics of intellectual …,2009,"… at an integrative approach to studying geographical indications and/or … geographical indications. Finally, section 5 develops a conceptual approach to studying geographical indications …",,"C Bramley, E Biénabe, J Kirsten - The economics of intellectual …, 2009 - books.google.com",237,"https://scholar.google.com/scholar?cites=17313338405270118120&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:6N5AsoxVRfAJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=17313338405270118120&hl=en&num=20&as_sdt=0,22",
geograhical indications,nFbs_4YunPcJ,Pdf,A review of the socio-economic impact of geographical indications: considerations for the developing world,https://www.wipo.int/edocs/mdocs/geoind/en/wipo_geo_lim_11/wipo_geo_lim_11_9.pdf,C Bramley,… worldwide symposium on geographical indications,2011,The introduction of geographical indications (GIs) into the WTO TRIPS agreement has resulted in unprecedented recognition of the intellectual property (IP) right internationally. Its …,,"C Bramley - … worldwide symposium on geographical indications, 2011 - wipo.int",123,"https://scholar.google.com/scholar?cites=17842186981089236636&as_sdt=40000005&sciodt=0,22&hl=en&num=20","https://scholar.google.com/scholar?q=related:nFbs_4YunPcJ:scholar.google.com/&scioq=geographical+indications&hl=en&num=20&as_sdt=0,22","https://scholar.google.com/scholar?cluster=17842186981089236636&hl=en&num=20&as_sdt=0,22",https://www.wipo.int/edocs/mdocs/geoind/en/wipo_geo_lim_11/wipo_geo_lim_11_9.pdf
