keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
Chess By panchatantra,All Part of the Game? Satyajit Ray's The Chess Players in Transcultural Perspective,https://books.google.com/books?hl=en&lr=&id=6Yp9DwAAQBAJ&oi=fnd&pg=PA59&dq=Chess+By+panchatantra&ots=T_1H9ZzbJW&sig=31kGGyzNFc7PQIyE7MP869ZlgPk,M Ghosh-Schellhorn,Games of Empires: Kulturhistorische …,2018,"… King', Lord Dalhousie, the Governor General of the British East India Company, who, unlike the customary chess figure, is not to be found on the chess board. Hidden from view, 16 this …",,
Chess By panchatantra,A history of chess: From chaturanga to the present day,https://books.google.com/books?hl=en&lr=&id=uJBXDwAAQBAJ&oi=fnd&pg=PT11&dq=Chess+By+panchatantra&ots=w7RVKhQ2am&sig=Cn9C5NQAhTeSIonr7nbCAKt2VHA,Y Averbakh,2012,2012,"… There are many legends about how chess came to be. Most of them are folk tales … chess than all the other games combined, but relatively little has been written about the history of chess…",,
Chess By panchatantra,Archetyps of wisdom: intercultural communication competences training in multicultural students groups,https://repository.kpi.kharkov.ua/items/4e649015-bf8e-4382-b8d1-8ab837d9f566,"LP Garnyk, II Snihurova",2019,2019,"… Panchatantra is dated by near 200 BCE, but … Panchatantra in each of two hundreds versions of its text in more than fifty languages around the world. Interpreted version of Panchatantra …",,https://repository.kpi.kharkov.ua/bitstreams/0813b391-de0c-4ae6-9d68-df89977ac403/download
Chess By panchatantra,Mythological Aspects of Ancient Indian Board Games: A Journey Towards Digitalisation,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003332183-17/mythological-aspects-ancient-indian-board-games-journey-towards-digitalisation-gunjan-singhal-singh-pooja-sharma,"GS Singh, P Sharma",Digitalization of Culture Through …,2022,"… The chess game invented on the board of Ashtapada was … There is mention of eight squares like chess in Patanjali’s … Now, chess is famous worldwide and has a significant position as a …",,
Chess By panchatantra,Chess and Race in the Global Middle Ages,https://www.journals.uchicago.edu/doi/abs/10.1086/729294,K Ilko,Speculum,2024,"… chess pieces to the chess players. Ranging from European examples to Persian and Arabic manuscripts, it explores diverse visual strategies through which chess … game of chess as a …",,
Chess By panchatantra,The Panchatantra Game Radhika Tandon 12/14/2005 Chris Romero,,M Doyle,,,,,
Chess By panchatantra,HISTORY OF MEDICINE: BORZUYEH E TABIB (THE IRANIAN PHYSICIAN),https://journalaim.com/PDF/72_ap2016_0015.pdf,T Nayernouri,2016,2016,… the Karnameh describes the game of chess (shatrange) and … Another legend relating to the game of chess (shatrange) … I could translate the book of ‘Panchatantra’ which we know as ‘…,,https://journalaim.com/PDF/72_ap2016_0015.pdf
Chess By panchatantra,The Evolution of the Perception of India: Akbar and Abu'l Fazl,https://www.jstor.org/stable/3520120,MA Ali,Social Scientist,1996,"… Indians do go to other countries to seek knowledge; others have to come here India has given the world the numerals, the Panchatantra tales, a chess.14 He goes on to associate India …",,https://www.academia.edu/download/62363543/The_Evolution_of_the_perception_of_India-_Akbar_and_Abul_Fazl20200314-124164-1981b4m.pdf
Chess By panchatantra,""" Il perché del gioco"": Chess and Medievalism in Calvino's Le città invisibili and Lezioni americane",https://escholarship.org/uc/item/4vx4d468,A Kumar,California Italian Studies,2023,"… invention of chess and backgammon is immediately followed by the story of how the Kalileh and Demneh, the Arabic translation of the Indian frame-tale narrative Panchatantra, makes …",,https://escholarship.org/content/qt4vx4d468/qt4vx4d468_noSplash_e12dd1a71a7aabf7a15530b316b6bbd4.pdf
Chess By panchatantra,MFA-DT,,R Tandon,Animation,,,,
Chess By panchatantra,INTEGRATION or PARADIGMS AS ORGANIZING PRINCIPLES IN EXPERT SYSTEMS.,,R Sadananda,,,,,
Chess By panchatantra,India's Rich and Valuable Contribution to Persian Literature: In the Light of Some Recent Discoveries,,SAH Abidi,1982,1982,,,
Chess By panchatantra,"Comparative investigation of Borzuya, the physician's and John Hick's viewpoints in the problem of diversity of religions and coexistence of followers of …",https://www.academia.edu/download/84667454/Comparative_investigation_of_Borzuya_the_physician_s_and_John_Hick_s_viewpoints_in_....pdf,S Azarkasb,… Contemporáneos: Educación,2019,"This paper investigates Borzuya, the physician’s and Hick’s viewpoints in the problem of diversity of religions and coexistence of followers of religions in a comparative method. The …",,https://www.academia.edu/download/84667454/Comparative_investigation_of_Borzuya_the_physician_s_and_John_Hick_s_viewpoints_in_....pdf
