keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
chess,Perception in chess,https://www.sciencedirect.com/science/article/pii/0010028573900042,"WG Chase, HA Simon",Cognitive psychology,1973,This paper develops a technique for isolating and studying the perceptual structures that chess players perceive. Three chess players of varying strength — from master to novice — …,,https://andymatuschak.org/prompts/Chase1973.pdf
chess,Skill in chess,https://link.springer.com/chapter/10.1007/978-1-4757-1968-0_18,"H Simon, W Chase",Computer chess compendium,1988,… Chess has proved to be an excellent model environment for this purpose. About a decade … A part of our article was devoted to a theory of the processes that expert chess players use in …,,
chess,A history of chess,https://books.google.com/books?hl=en&lr=&id=VBYLAAAAIAAJ&oi=fnd&pg=PA25&dq=chess&ots=GxQT-RWDx6&sig=x0IObFAJLK3I4-5Ci3d3Kk4FTv4,HJR Murray,1913,1913,THE aim of this work is threefold: to present as complete a record as is possible of the varieties of chess which exist or have existed in different parts of the world; to investigate the …,,
chess,Educational benefits of chess instruction: A critical review,https://researchportal.murdoch.edu.au/esploro/outputs/bookChapter/Educational-benefits-of-chess-instruction-A/991005542720507891,"F Gobet, G Campitelli",Chess and education …,2006,"… Or have chess players been blinded by their love of the game into … chess is advantageous for general education. To do so, we subject research into the educational benefits of chess to …",,https://researchportal.murdoch.edu.au/esploro/fulltext/bookChapter/Educational-benefits-of-chess-instruction-A/991005542720507891?repId=12135852430007891&mId=13136703660007891&institution=61MUN_INST
chess,Chess,https://link.springer.com/content/pdf/10.1007/978-1-4757-1968-0_2?pdf=chapter%20toc,AM Turing,Computer Chess Compendium,1988,"… of chess, ie which,confronted with an ordinary (that is, not particularly unusual) chess position… To these we may add two further questions, unconnected with chess, which are likely to be …",,https://link.springer.com/content/pdf/10.1007/978-1-4757-1968-0_2?pdf=chapter%20toc
chess,The mind's eye in chess,https://www.sciencedirect.com/science/article/pii/B9780121701505500111,"WG Chase, HA Simon",Visual information processing,1973,"Publisher Summary This chapter describes the progress made toward understanding chess skill. It describes the work on perception in chess, adding some new analyses of the data. It …",,
chess,Playing chess unconsciously.,https://psycnet.apa.org/record/2008-18581-020,"A Kiesel, W Kunde, C Pohl, MP Berner…",Journal of …,2009,"… Expert chess players judged whether a target chess configuration … Chess experts, but not novice chess players, revealed a … We compared the performance of chess experts and chess …",,https://www.psychologie.uni-wuerzburg.de/fileadmin/06020300/Publications/Kiesel_Kunde_Pohl_Berner_Hoffmann_2009_JEPLMC.pdf
chess,Thought and choice in chess,https://books.google.com/books?hl=en&lr=&id=b2G1CRfNqFYC&oi=fnd&pg=PP1&dq=chess&ots=Tl0XT3IhJL&sig=1BfzGvAY21TdMBmqk3flwakrq_8,AD De Groot,2008,2008,"… character of the game of chess and chess talent, are of enough interest to be taken up again in Chapter VIII of this study, where the factors underlying chess mastership are discussed. …",,
chess,The psychology of chess skill,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003170396&type=googlepdf,DH Holding,1985,1985,"… forms of activity, by carrying out research into chess play, should be a particularly engaging … on chess. There were remaining gaps in knowledge, but the structure of chess skill had at …",,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003170396&type=googlepdf
chess,The Greenblatt chess program,https://dl.acm.org/doi/abs/10.1145/1465611.1465715,"RD Greenblatt, DE Eastlake III, SD Crocker",Proceedings of the …,1967,"… The first step we took was to produce a simulated chess set, whereby the computer would display the current board and accept moves in standard chess notation through a …",,https://dl.acm.org/doi/pdf/10.1145/1465611.1465715?utm_source=miragenews&utm_medium=miragenews&utm_campaign=news
