keyword,result_id,type,title,link,authors,journal,year,snippet,full_abstract,publication,cited_by,cited_by_link,related_pages_link,versions_link,pdf_url
Geographical tourism,0aXoZVf-oFMJ,,Tourism and the environment: A geographical perspective,https://www.tandfonline.com/doi/abs/10.1080/14616680050082553,RW Butler,Tourism geographies,2000,"… of geography in the United Kingdom, the approach taken is a global, rather than a national, one. Many of the issues relating to tourism … , however, that while geography in the UK has a …",,"RW Butler - Tourism geographies, 2000 - Taylor & Francis",225,"https://scholar.google.com/scholar?cites=6026095952747079121&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:0aXoZVf-oFMJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=6026095952747079121&hl=en&num=20&as_sdt=0,43",
Geographical tourism,7zR0dN-q_p4J,Book,Tourism today. A geographical analysis.,https://www.cabidigitallibrary.org/doi/full/10.5555/19871842999,DG Pearce,1987,1987,"… geographical dimensions of tourism, emphasizing general patterns and processes drawn from a wide range of empirical studies, geographical … Selected tourist flows at various scales, …",,DG Pearce - 1987 - cabidigitallibrary.org,1468,"https://scholar.google.com/scholar?cites=11456782378785322223&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:7zR0dN-q_p4J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=11456782378785322223&hl=en&num=20&as_sdt=0,43",
Geographical tourism,BALCD--RE1gJ,Book,Critical issues in tourism: A geographical perspective.,https://www.cabidigitallibrary.org/doi/full/10.5555/19941805547,"G Shaw, AM Williams",1994,1994,"… issues that tourism raises are of critical and vital importance throughout the world: the book provides a geographical … of tourism and, in so doing, seeks to understand the ways in which …",,"G Shaw, AM Williams - 1994 - cabidigitallibrary.org",2239,"https://scholar.google.com/scholar?cites=6346576755842744836&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:BALCD--RE1gJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=6346576755842744836&hl=en&num=20&as_sdt=0,43",
Geographical tourism,kzOSVVtSjCMJ,Pdf,Tourism development: A geographical perspective,https://www.academia.edu/download/80104169/1604.pdf,"KW Awang, WMW Hassan, MSM Zahari",Asian Social Science,2009,"… an effort to conceptualise tourism and development, and their interlinking features, within the broad geographical perspective. It suggests that, as an industry, tourism has evolved along …",,"KW Awang, WMW Hassan, MSM Zahari - Asian Social Science, 2009 - academia.edu",64,"https://scholar.google.com/scholar?cites=2561512840298115987&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:kzOSVVtSjCMJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=2561512840298115987&hl=en&num=20&as_sdt=0,43",https://www.academia.edu/download/80104169/1604.pdf
Geographical tourism,FQ-weDXVnRwJ,Book,Tourism geography,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203197554&type=googlepdf,SW Williams,2002,2002,"… If we limit ourselves to conventional geographic concerns for spatial patterns of people, resources and tourism flows, we gain only a partial view of what tourism is about. Geography has …",,SW Williams - 2002 - api.taylorfrancis.com,931,"https://scholar.google.com/scholar?cites=2062038630040342293&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:FQ-weDXVnRwJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=2062038630040342293&hl=en&num=20&as_sdt=0,43",http://repo.lib.sab.ac.lk:8080/xmlui/bitstream/handle/123456789/1679/9780203197554_webpdf-1-13-35.pdf?sequence=1&isAllowed=y
Geographical tourism,aEg25ITlg1wJ,,The value and scope of geographical information systems in tourism management,https://www.tandfonline.com/doi/abs/10.1080/09669589908667327,D McAdam,Journal of Sustainable Tourism,1999,… One such technology is a geographical information system (GIS) and this paper will … of tourism development projects (TDPs).In order to evaluate the scope and value of GIS in tourism …,,"D McAdam - Journal of Sustainable Tourism, 1999 - Taylor & Francis",169,"https://scholar.google.com/scholar?cites=6666424232365672552&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:aEg25ITlg1wJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=6666424232365672552&hl=en&num=20&as_sdt=0,43",https://www.tandfonline.com/doi/pdf/10.1080/09669589908667327
Geographical tourism,4Mu6owA8P8sJ,,Progress in tourism management: From the geography of tourism to geographies of tourism–A review,https://www.sciencedirect.com/science/article/pii/S0261517708000988,"CM Hall, SJ Page",Tourism management,2009,… Tourism Management paper seeks to review the development of geographical contributions to the study of tourism … Given the limited number of surveys of geography published in …,,"CM Hall, SJ Page - Tourism management, 2009 - Elsevier",420,"https://scholar.google.com/scholar?cites=14645490486676736992&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:4Mu6owA8P8sJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=14645490486676736992&hl=en&num=20&as_sdt=0,43",https://www.storre.stir.ac.uk/bitstream/1893/652/1/JTMA-D-08-00071.pdf
Geographical tourism,RqH2HEVokpAJ,,Geographical consciousness and tourism experience,https://www.sciencedirect.com/science/article/pii/S0160738399001127,Y Li,Annals of tourism research,2000,"… tourism experience Three interwoven concepts inform the main purpose of this study: tourism experience, geographical … There have been opposing definitions of tourism experience. For …",,"Y Li - Annals of tourism research, 2000 - Elsevier",565,"https://scholar.google.com/scholar?cites=10417503534109335878&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:RqH2HEVokpAJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=10417503534109335878&hl=en&num=20&as_sdt=0,43",
Geographical tourism,rcM5HWbIPigJ,Book,Sustainable tourism. A geographical perspective.,https://www.cabidigitallibrary.org/doi/full/10.5555/19991802517,"CM Hall, AA Lew",1998,1998,… tourism development. Individual chapters include: the geography of sustainable tourism … and ecotourism; sustainable tourism; tourism and sustainable development; tourism and the …,,"CM Hall, AA Lew - 1998 - cabidigitallibrary.org",783,"https://scholar.google.com/scholar?cites=2899975550975722413&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:rcM5HWbIPigJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=2899975550975722413&hl=en&num=20&as_sdt=0,43",
Geographical tourism,Z0O_EFrMRHoJ,,"Weather, climate and tourism a geographical perspective",https://www.sciencedirect.com/science/article/pii/S0160738305000605,MBG Martín,Annals of tourism research,2005,"… tourism from the perspective of the geography of tourism and climatology. It analyzes the nature of the influence that climate has on tourism … to the requirements of tourism, and revealing …",,"MBG Martín - Annals of tourism research, 2005 - Elsevier",727,"https://scholar.google.com/scholar?cites=8810391458243625831&as_sdt=5,43&sciodt=0,43&hl=en&num=20","https://scholar.google.com/scholar?q=related:Z0O_EFrMRHoJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,43","https://scholar.google.com/scholar?cluster=8810391458243625831&hl=en&num=20&as_sdt=0,43",
